created_at,author_id,text,category,cleaned_text
2025-06-13 14:32:26+00:00,51047889,"#GH  Willow Lands in Shadybrook – Psych Evaluation Leads to Mental Health Treatment? 

https://t.co/aH6fYPykan",Health,gh willow lands in shadybrook psych evaluation leads to mental health treatment
2025-06-13 14:32:26+00:00,1932458808892432384,💞💋Doggy style or 69😋 I Want the Truth 💕send me a message💞💋💞💋🥀💋 https://t.co/s8TznHkb0m,Fashion,doggy style or 69 i want the truth send me a message
2025-06-13 14:32:26+00:00,1272598112989859840,@SagaFraga @lion_politics Trump also said it indirectly,Politics,trump also said it indirectly
2025-06-13 14:32:26+00:00,1756404900806656000,@nighdruth Yes pls we need a video of Druth with clothes start growing and ripping all of them and after he burst out of the building to start stomping the city,Fashion,yes pls we need a video of druth with clothes start growing and ripping all of them and after he burst out of the building to start stomping the city
2025-06-13 14:32:26+00:00,2545630868,"Death is the New Black. Dominic Piper.

""Sinister goings-on in the world of fashion. An exciting and unusual detective thriller. Totally recommend!"" - Annie Howe.

https://t.co/Xr8ygKCiHA

#MustRead #DanielBeckett #PrivateInvestigator #Dark #Addictive #Standalone #Thriller https://t.co/BGOD4oBmI9",Fashion,death is the new black dominic piper sinister goingson in the world of fashion an exciting and unusual detective thriller totally recommend annie howe mustread danielbeckett privateinvestigator dark addictive standalone thriller
2025-06-13 14:32:26+00:00,1368740410584104961,@w_terrence Good for them-we all hate that horrible government (including Iranian people) but America cannot join in the fight ….,Politics,good for themwe all hate that horrible government including iranian people but america cannot join in the fight
2025-06-13 14:32:26+00:00,1849096073866027008,"Its economic model is designed for long-term health ♻️: founded on ""Proof of Work,"" cycling value through a ""burn-mint"" mechanism, and guiding growth with ""scarcity-based incentives."" @pipenetwork is a complete and sustainable ecosystem design by .",Health,its economic model is designed for longterm health founded on proof of work cycling value through a burnmint mechanism and guiding growth with scarcitybased incentives is a complete and sustainable ecosystem design by
2025-06-13 14:32:26+00:00,1725900292909047808,"@CAgovernor Nope

This is blowback from our government failing to enforce reasonable immigration policies. 

A nation without borders is not a nation. 

Ingres and egress must be controlled. 

Knowing who is here and why is an absolute must. 

All of this is a reflection of your failure.",Politics,nope this is blowback from our government failing to enforce reasonable immigration policies a nation without borders is not a nation ingres and egress must be controlled knowing who is here and why is an absolute must all of this is a reflection of your failure
2025-06-13 14:32:25+00:00,885671476627521536,@katieporteroc He interrupted official proceedings and then ignored instructions from law enforcement. Are you seriously calling for special treatment of government officials that wouldn’t be extended to everyday people?,Politics,he interrupted official proceedings and then ignored instructions from law enforcement are you seriously calling for special treatment of government officials that wouldnt be extended to everyday people
2025-06-13 14:32:25+00:00,1769834020387352576,"GRNMA Strike: We are not demanding immediate implementation of everything – Diana Nyarko, Midwife, Shai-Osudoku District Hospital",Health,grnma strike we are not demanding immediate implementation of everything diana nyarko midwife shaiosudoku district hospital
2025-06-13 14:32:25+00:00,1925848443265646593,"@TheEXECUTlONER_ They were following protocol. When an unidentified person lunges at a government official and then resists arrest, it is absolutely appropriate.
It was all for theatre anyway!",Politics,they were following protocol when an unidentified person lunges at a government official and then resists arrest it is absolutely appropriate it was all for theatre anyway
2025-06-13 14:32:25+00:00,768597308447428608,@SpotemGang #SPOTEMGANG i love the artist style and I love hack and Slash games too much.,Fashion,spotemgang i love the artist style and i love hack and slash games too much
